scientific_name,geometry
Pinus longaeva D.K.Bailey,"c(-114.920833, 38.520638)"
Pinus longaeva D.K.Bailey,"c(-114.919158, 38.519678)"
Pinus longaeva D.K.Bailey,"c(-114.919012, 38.519443)"
Pinus longaeva D.K.Bailey,"c(-114.91768, 38.518415)"
Pinus longaeva D.K.Bailey,"c(-114.916715, 38.517553)"
Pinus longaeva D.K.Bailey,"c(-114.91481, 38.516485)"
Pinus longaeva D.K.Bailey,"c(-114.915015, 38.515285)"
Pinus longaeva D.K.Bailey,"c(-114.915132, 38.515275)"
Pinus longaeva D.K.Bailey,"c(-114.918255, 38.513477)"
Pinus longaeva D.K.Bailey,"c(-114.919492, 38.512838)"
Pinus longaeva D.K.Bailey,"c(-114.920278, 38.51225)"
Pinus longaeva D.K.Bailey,"c(-114.920717, 38.512033)"
Pinus longaeva D.K.Bailey,"c(-114.922827, 38.511088)"
Pinus longaeva D.K.Bailey,"c(-114.923242, 38.510783)"
Pinus longaeva D.K.Bailey,"c(-114.923458, 38.510688)"
Pinus longaeva D.K.Bailey,"c(-114.923738, 38.510678)"
Pinus longaeva D.K.Bailey,"c(-114.92406, 38.510398)"
Pinus longaeva D.K.Bailey,"c(-114.924778, 38.50981)"
Pinus longaeva D.K.Bailey,"c(-114.925932, 38.509612)"
Pinus longaeva D.K.Bailey,"c(-114.9267, 38.509213)"
Pinus longaeva D.K.Bailey,"c(-114.927013, 38.509137)"
Pinus longaeva D.K.Bailey,"c(-114.92781, 38.508593)"
Pinus longaeva D.K.Bailey,"c(-114.927807, 38.508212)"
Pinus longaeva D.K.Bailey,"c(-114.927695, 38.508245)"
Pinus longaeva D.K.Bailey,"c(-118.161808, 37.384572)"
Pinus longaeva D.K.Bailey,"c(-118.175121, 37.392848)"
Pinus longaeva D.K.Bailey,"c(-118.164596, 37.385087)"
Pinus longaeva D.K.Bailey,"c(-118.171613, 37.379167)"
Pinus longaeva D.K.Bailey,"c(-118.171613, 37.379167)"
Pinus longaeva D.K.Bailey,"c(-118.171613, 37.379167)"
Pinus longaeva D.K.Bailey,"c(-118.171613, 37.379167)"
Pinus longaeva D.K.Bailey,"c(-118.171613, 37.379167)"
Pinus longaeva D.K.Bailey,"c(-113.369462, 39.314575)"
Pinus longaeva D.K.Bailey,"c(-115.626454, 36.308372)"
Pinus longaeva D.K.Bailey,"c(-114.729163, 38.630162)"
Pinus longaeva D.K.Bailey,"c(-114.72822, 38.631283)"
Pinus longaeva D.K.Bailey,"c(-114.727333, 38.646283)"
Pinus longaeva D.K.Bailey,"c(-114.734305, 38.656155)"
Pinus longaeva D.K.Bailey,"c(-114.731125, 38.667208)"
Pinus longaeva D.K.Bailey,"c(-114.73375, 38.67693)"
Pinus longaeva D.K.Bailey,"c(-114.738005, 38.684658)"
Pinus longaeva D.K.Bailey,"c(-114.738158, 38.68505)"
Pinus longaeva D.K.Bailey,"c(-114.74192, 38.692928)"
Pinus longaeva D.K.Bailey,"c(-114.733567, 38.659162)"
Pinus longaeva D.K.Bailey,"c(-114.727287, 38.646675)"
Pinus longaeva D.K.Bailey,"c(-114.730438, 38.620875)"
Pinus longaeva D.K.Bailey,"c(-114.730347, 38.618858)"
Pinus longaeva D.K.Bailey,"c(-114.731413, 38.617753)"
Pinus longaeva D.K.Bailey,"c(-114.730553, 38.620505)"
Pinus longaeva D.K.Bailey,"c(-114.9197, 38.520012)"
Pinus longaeva D.K.Bailey,"c(-114.917275, 38.517942)"
Pinus longaeva D.K.Bailey,"c(-114.916712, 38.514397)"
Pinus longaeva D.K.Bailey,"c(-114.920175, 38.512305)"
Pinus longaeva D.K.Bailey,"c(-114.923722, 38.510783)"
Pinus longaeva D.K.Bailey,"c(-114.924788, 38.509903)"
Pinus longaeva D.K.Bailey,"c(-114.926842, 38.509363)"
Pinus longaeva D.K.Bailey,"c(-114.924233, 38.507145)"
Pinus longaeva D.K.Bailey,"c(-114.92153, 38.506042)"
Pinus longaeva D.K.Bailey,"c(-114.919692, 38.505992)"
Pinus longaeva D.K.Bailey,"c(-114.915345, 38.506488)"
Pinus longaeva D.K.Bailey,"c(-118.1632, 37.37972)"
Pinus longaeva D.K.Bailey,"c(-118.162103, 37.380208)"
Pinus longaeva D.K.Bailey,"c(-118.16977, 37.378522)"
Pinus longaeva D.K.Bailey,"c(-118.172945, 37.385267)"
Pinus longaeva D.K.Bailey,"c(-112.828744, 37.620614)"
Pinus longaeva D.K.Bailey,"c(-118.178245, 37.385305)"
Pinus longaeva D.K.Bailey,"c(-118.142601, 37.448818)"
Pinus longaeva D.K.Bailey,"c(-112.23546, 37.470338)"
Pinus longaeva D.K.Bailey,"c(-112.158447, 37.614792)"
Pinus longaeva D.K.Bailey,"c(-112.158054, 37.604145)"
Pinus longaeva D.K.Bailey,"c(-112.136457, 37.643612)"
Pinus longaeva D.K.Bailey,"c(-118.213195, 37.273658)"
